date,open,high,low,close,volume,label
2012.03.27,83.01,83.37,82.63,83.06,9036,83.17
2012.03.28,83.05,83.17,82.6,82.88,9183,82.75
2012.03.29,82.69,82.75,81.89,82.28,10566,82.86
2012.03.30,82.27,82.86,81.82,82.78,16187,82.965
2012.04.01,82.95,82.965,82.75,82.87,691,83.29
2012.04.02,82.86,83.29,81.54,81.62,13140,82.98
2012.04.03,81.63,82.98,81.63,82.84,17718,82.92
2012.04.04,82.845,82.92,82.082,82.41,19823,82.422
2012.04.05,82.36,82.422,81.813,82.2,31401,82.542
2012.04.06,82.21,82.542,81.295,81.566,14266,81.57
2012.04.08,81.54,81.57,81.18,81.28,535,81.656
2012.04.09,81.27,81.656,81.216,81.63,16139,81.85
2012.04.10,81.64,81.85,80.63,80.67,12748,81.11
2012.04.11,80.68,81.11,80.56,80.99,6710,81.12
2012.04.12,80.98,81.12,80.72,80.93,6472,81.18
2012.04.13,80.94,81.18,80.83,81.01,5564,80.94
2012.04.15,80.94,80.94,80.849,80.907,1487,80.983
2012.04.16,80.906,80.983,80.285,80.392,27282,81.093
2012.04.17,80.396,81.093,80.358,81.05,26094,81.55
2012.04.18,81.049,81.55,80.993,81.3,29224,81.72
2012.04.19,81.304,81.72,81.252,81.61,28687,81.76
2012.04.20,81.611,81.76,81.47,81.55,7017,81.65
2012.04.22,81.64,81.65,81.58,81.58,92,81.58
2012.04.23,81.57,81.58,80.96,81.08,4489,81.423
2012.04.24,81.09,81.423,80.84,81.387,9672,81.68
2012.04.25,81.386,81.68,81.06,81.307,29811,81.409
2012.04.26,81.31,81.409,80.653,81.055,29189,81.43
2012.04.27,81.052,81.43,80.342,80.36,30784,80.373
2012.04.29,80.323,80.373,80.297,80.348,903,80.357
2012.04.30,80.345,80.357,79.723,79.921,20180,80.287
2012.05.01,79.923,80.287,79.629,80.123,20863,80.599
2012.05.02,80.167,80.599,80.042,80.121,23662,80.538
2012.05.03,80.122,80.538,80.099,80.213,18861,80.332
2012.05.04,80.212,80.332,79.807,79.826,17940,79.84
2012.05.06,79.748,79.84,79.63,79.811,3069,79.983
2012.05.07,79.81,79.983,79.712,79.918,22223,80.065
2012.05.08,79.917,80.065,79.698,79.868,24243,79.929
2012.05.09,79.863,79.929,79.419,79.702,27115,80.005
2012.05.10,79.703,80.005,79.592,79.87,25184,79.98
2012.05.11,79.869,79.98,79.716,79.909,20281,80.04
